Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/23/2025,02/24/2025,DUNKIN #361797 Q35,Food & Drink,Sale,-6.08,
02/23/2025,02/24/2025,APPLE.COM/BILL,Shopping,Sale,-3.26,
02/22/2025,02/24/2025,TST*12 CHAIRS - BROOKLYN,Food & Drink,Sale,-119.85,
02/22/2025,02/23/2025,APPLE.COM/BILL,Shopping,Sale,-9.99,
02/21/2025,02/23/2025,UBER   *TRIP,Travel,Sale,-13.00,
02/21/2025,02/23/2025,UBER   *TRIP,Travel,Sale,-13.66,
02/20/2025,02/23/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
02/20/2025,02/23/2025,JERUSALEM STEAKHOUSE,Food & Drink,Sale,-309.30,
02/20/2025,02/23/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
02/21/2025,02/21/2025,UBER   *EATS,Food & Drink,Sale,-20.22,
02/20/2025,02/21/2025,DUNKIN #365295,Food & Drink,Sale,-2.71,
02/20/2025,02/21/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
02/19/2025,02/21/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
02/19/2025,02/21/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
02/19/2025,02/20/2025,JOE  THE JUICE NEW YORK,Food & Drink,Sale,-4.03,
02/18/2025,02/20/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
02/19/2025,02/20/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
02/19/2025,02/20/2025,WALGREENS #1214,Health & Wellness,Sale,-7.32,
02/19/2025,02/20/2025,JOE  THE JUICE NEW YORK,Food & Drink,Sale,-12.96,
02/19/2025,02/20/2025,UBER   *TRIP,Travel,Sale,-10.99,
02/19/2025,02/20/2025,SCHEMANS BRYANT PARK,Home,Sale,-14.14,
02/19/2025,02/20/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
02/19/2025,02/20/2025,7-ELEVEN 33704,Gas,Sale,-9.24,
02/19/2025,02/20/2025,JOE  THE JUICE NEW YORK,Food & Drink,Sale,-12.96,
02/18/2025,02/19/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
